,Normalized_LunchADP,Normalized_FreeRedcElig,Normalized_LunchTotal,clusters
7367,75.58407079646018,100.0,1284.9557522123894,0
7368,0.0,49.22279792746114,0.0,1
7378,48.48535564853556,12.133891213389122,824.2677824267781,0
7389,72.75641025641025,100.0,1164.102564102564,0
7392,98.1304347826087,100.0,2943.478260869565,2
7393,96.76666666666667,100.0,2903.3333333333335,2
7399,93.44444444444444,100.0,2803.703703703704,2
7411,90.9591836734694,100.0,2728.5714285714284,2
7414,99.80392156862746,100.0,2994.1176470588234,2
7417,11.882871536523929,26.448362720403022,202.01511335012597,1
7425,97.78915662650604,100.0,2933.734939759036,2
7427,90.96774193548387,100.0,2729.032258064516,2
7428,58.65476190476191,100.0,762.5,0
7429,0.0,100.0,0.0,1
7430,39.57575757575758,100.0,1227.2727272727273,0
7431,88.22727272727273,100.0,1500.0,0
7432,40.8125,100.0,1265.625,0
7437,51.5,100.0,1030.0,0
7439,92.0,100.0,2852.6315789473683,2
7440,81.5,100.0,2444.4444444444443,2
7443,81.1029411764706,100.0,2433.0882352941176,2
7444,15.956639566395664,28.184281842818425,255.28455284552845,1
7445,38.25,6.0064935064935066,497.2402597402597,1
7450,46.054421768707485,63.26530612244898,921.0884353741496,0
7451,40.42181818181818,17.09090909090909,768.0,0
7452,28.913385826771652,12.992125984251967,520.4724409448819,1
7453,34.51948051948052,11.688311688311687,655.8441558441558,1
7454,31.76521739130435,5.217391304347826,603.4782608695652,1
7455,37.95918367346939,17.857142857142858,759.1836734693878,0
7456,33.399280575539564,13.66906474820144,667.9856115107914,0
7458,49.086956521739125,25.543478260869566,932.6086956521739,0
7459,35.62921348314607,18.726591760299627,641.3233458177278,1
7460,25.516198704103672,5.723542116630669,459.28725701943847,1
7472,0.0,0.0,0.0,1
7478,31.511666666666667,15.666666666666668,472.66666666666663,1
7479,0.0,0.0,0.0,1
7481,47.53132832080201,43.859649122807014,950.6265664160401,0
7485,69.06474820143885,100.0,828.7769784172662,0
7487,34.1506646971935,21.418020679468242,512.2599704579026,1
7494,58.97959183673469,97.95918367346938,589.795918367347,1
7498,72.63225806451614,100.0,871.6129032258065,0
7502,60.50530035335689,54.06360424028268,786.5724381625441,0
7512,66.0632911392405,100.0,858.8607594936709,0
7513,78.4179104477612,100.0,1019.4029850746268,0
7524,28.424242424242426,100.0,369.6969696969697,1
7525,63.773504273504265,21.794871794871796,829.0598290598291,0
7526,0.0,0.0,0.0,1
7536,73.75280898876404,59.176029962546814,958.8014981273409,0
7542,39.17129071170085,7.599517490952954,587.5753920386007,1
7546,45.09615384615384,35.256410256410255,901.923076923077,0
7548,42.82165605095541,33.43949044585987,556.687898089172,1
7549,26.380368098159508,8.742331288343557,395.7055214723926,1
7550,0.0,0.0,0.0,1
7553,42.931034482758626,81.77339901477832,558.128078817734,1
7554,9.36734693877551,20.74829931972789,121.7687074829932,1
7557,52.019999999999996,42.5,676.25,0
7559,0.0,0.0,0.0,1
7560,0.0,0.0,0.0,1
7562,56.17073170731708,100.0,1741.4634146341464,0
7568,10.187074829931971,24.489795918367346,203.74149659863946,1
7573,0.0,88.83248730964468,0.0,1
7578,39.31578947368421,94.73684210526315,668.421052631579,0
7579,78.02380952380953,92.85714285714286,1014.2857142857142,0
7589,0.0,0.0,0.0,1
7591,61.05809128630706,84.64730290456431,793.7759336099585,0
7593,0.0,0.0,0.0,1
7594,0.0,100.0,0.0,1
7595,0.0,0.0,0.0,1
7596,11.794444444444444,27.77777777777778,153.33333333333334,1
7599,75.82142857142857,84.52380952380952,985.7142857142858,0
7600,0.0,0.0,0.0,1
7602,0.0,38.51239669421488,0.0,1
7605,0.0,0.0,0.0,1
7606,0.0,0.0,0.0,1
7607,0.0,58.48101265822785,0.0,1
7608,0.0,0.0,0.0,1
7609,48.29746835443038,38.291139240506325,627.8481012658227,1
7610,0.0,0.0,0.0,1
7611,0.0,30.944625407166125,0.0,1
7613,30.866666666666664,100.0,956.6666666666666,0
7614,0.0,86.70212765957447,0.0,1
7616,60.823529411764696,85.71428571428571,790.7563025210085,0
7617,0.0,0.0,0.0,1
7619,0.0,0.0,0.0,1
7621,84.47619047619048,100.0,2534.285714285714,2
7622,0.0,0.0,0.0,1
7630,0.0,100.0,0.0,1
7632,0.0,19.883040935672515,0.0,1
7633,52.07142857142857,92.85714285714286,885.7142857142858,0
7637,38.54166666666667,91.66666666666666,770.8333333333333,0
7638,35.11538461538462,92.3076923076923,561.5384615384615,1
7640,0.0,0.0,0.0,1
7642,0.0,0.0,0.0,1
7643,0.0,51.951219512195124,0.0,1
7644,62.193069306930695,85.64356435643565,995.0495049504951,0
7645,0.0,0.0,0.0,1
7647,61.83152173913044,85.86956521739131,803.8043478260869,0
7648,0.0,0.0,0.0,1
7649,0.0,0.0,0.0,1
7651,0.0,0.0,0.0,1
7657,0.0,0.0,0.0,1
7658,0.0,0.0,0.0,1
7659,0.0,0.0,0.0,1
7668,0.0,0.0,0.0,1
7669,51.95783132530121,32.53012048192771,623.4939759036145,1
7675,0.0,50.753768844221106,0.0,1
7677,73.2625,100.0,879.1666666666666,0
7692,0.0,31.25,0.0,1
7695,96.48684210526316,100.0,1157.8947368421052,0
7698,0.0,57.608695652173914,0.0,1
7700,18.75,68.75,243.75,1
7706,0.0,62.76150627615063,0.0,1
7708,89.67532467532467,100.0,1703.8961038961038,0
7718,92.68367346938776,100.0,1112.2448979591836,0
7719,0.0,59.79381443298969,0.0,1
7721,62.85593220338983,100.0,754.2372881355933,0
7729,79.23809523809524,100.0,950.7936507936508,0
7735,0.0,0.0,0.0,1
7738,0.0,0.0,0.0,1
7740,87.98958333333333,100.0,1671.875,0
7741,97.94736842105263,100.0,3036.842105263158,2
7742,0.0,0.0,0.0,1
7745,0.0,65.15580736543909,0.0,1
7749,86.64,100.0,1646.0,0
7752,53.63559322033898,86.4406779661017,643.6440677966102,1
7754,91.16,100.0,1094.0,0
7756,0.0,49.50980392156863,0.0,1
7763,0.0,24.65940054495913,0.0,1
7773,0.0,36.708860759493675,0.0,1
7778,0.0,23.747680890538035,0.0,1
7785,35.4696261682243,4.0887850467289715,461.0981308411215,1
7788,0.0,35.16746411483253,0.0,1
7792,71.75409836065573,100.0,932.7868852459015,0
7796,87.16666666666666,91.93548387096774,2702.150537634409,2
7797,0.0,0.0,0.0,1
7799,0.0,0.0,0.0,1
7801,0.0,0.0,0.0,1
7805,0.0,3.767123287671233,0.0,1
7808,83.92631578947369,100.0,1091.0526315789473,0
7811,0.0,15.120274914089347,0.0,1
7812,37.625178826895564,2.575107296137339,489.12732474964236,1
7815,0.0,36.64825046040516,0.0,1
7816,0.0,48.04597701149425,0.0,1
7817,48.00892857142857,51.33928571428571,624.1071428571429,1
7819,35.57407407407407,5.061728395061729,462.4691358024691,1
7822,34.54408352668214,3.0162412993039442,449.0719257540603,1
7823,0.0,0.0,0.0,1
7827,79.49065420560748,92.05607476635514,1430.8411214953271,0
7829,0.0,43.538767395626245,0.0,1
7836,0.0,24.65277777777778,0.0,1
7837,0.0,0.0,0.0,1
7838,0.0,43.24324324324324,0.0,1
7841,78.3768115942029,100.0,1018.8405797101449,0
7846,0.0,12.816691505216097,0.0,1
7848,0.0,49.56140350877193,0.0,1
7849,86.1,100.0,2670.0,2
7850,0.0,32.054794520547944,0.0,1
7855,0.0,55.3030303030303,0.0,1
7860,80.91666666666667,92.3076923076923,1051.923076923077,0
7862,0.0,21.686746987951807,0.0,1
